CODGEO,P22_POP,P16_POP,SUPERF,NAIS1621,DECE1621,P22_MEN,NAISD24,DECESD24,P22_LOG,P22_RP,P22_RSECOCC,P22_LOGVAC,P22_RP_PROP,MED_SL23,PR_MD60_23,P22_EMPLT,P22_EMPLT_SAL,P16_EMPLT,P22_POP1564,P22_CHOM1564,P22_ACT1564,ETTOT24,ETAZ24,ETBE24,ETFZ24,ETGU24,ETOQ24,ETTEF124,ETTEFP1024
85147,1626,1676,29.14,82,77,714.60487194615,14,10,849.915931853984,714.60487194615,45.1036866359448,90.2073732718896,602.003346458597,24750,s,149.844392349703,84.7802329790345,238.680248729874,1006.47609030397,59.8316201074152,789.726732807767,31,11,2,2,11,5,23,1
85148,820,794,12.03,43,34,345.738094054384,6,7,409.892310921854,345.738094054384,39.0939759036146,25.0602409638555,282.680714263676,25470,s,69.7120688021588,42.9099019285132,99.7416036680136,518.708422552167,43.9038917557186,387.876110002502,11,2,0,2,4,3,9,1
85149,408,404,19.68,22,18,179.539710412793,4,3,205.2838181569,179.539710412793,13.3487966080559,12.3953111360519,116.985168551432,22620,s,60.1873175974151,48.1363889221348,67.9320834820853,249.763318054285,18.1469612226378,192.849965929778,10,0,0,2,5,3,8,2
85151,6065,5976,21.94,260,355,2604,42,60,2821,2604,68,149,1916,26260,s,3839.04879885373,3537.2827855718,3677.50627903448,3779,179,2902,191,7,34,23,106,21,131,49
85152,5451,5001,30.3,336,280,2218,48,51,2437,2218,99,120,1640,25800,s,4498.7139443761,4127.7376113423,3417.41299150342,3272,184,2657,251,13,38,30,140,30,157,80
85153,2986,2865,55,226,101,1261.94531315319,23,19,1403.83115999449,1261.94531315319,51.4908315149882,90.3950153263125,964.108778930667,24890,s,683.216941630829,515.635141786809,712.541639908124,1815.97989340347,79.1744274680643,1460.5109134088,94,17,10,11,48,8,72,13
85154,1749,1839,28.4,91,173,751.896639208235,9,37,900.054421724227,751.896639208235,79.0842217484014,69.0735607675911,571.795076006643,23830,s,922.521190717716,818.534859436405,1050.09928442547,989.763555087178,59.0637139176575,770.488630669399,52,10,5,9,18,10,37,10
85155,5209,4913,19.73,252,195,2144.68568665177,33,42,2294.61011460477,2144.68568665177,87.190092852099,62.7343351009005,1813.39310066195,28350,s,2669.80036174587,2439.33862787661,2287.60554830129,3057.40817039253,134.156445375322,2379.83395317398,200,3,13,16,155,13,118,73
85156,2341,2121,9.23,98,187,1064,8,23,1264,1064,134,66,691,24420,s,904.732567059362,751.567880720499,834.348632599033,1271,86,989,92,1,6,14,55,16,66,19
85157,823,745,18.28,50,33,349.967912376411,9,11,441.84466097753,349.967912376411,47.4528262005781,44.4239224005412,304.00279761125,25080,s,111.969754916159,72.3274527404723,119.071536622043,475.371607044142,23.4280879289774,378.744542666202,20,2,0,6,10,2,17,3
85158,1211,1233,25.85,65,65,549.583254055569,7,10,635.102509167545,549.583254055569,46.1227443300547,39.3965107819217,421.043658126525,23570,s,241.154831070783,186.046919339863,265.184722751498,713.457541644837,39.2584465406249,571.7674155798,22,3,2,2,12,3,15,4
85159,2372,2316,33.61,137,203,1025,9,41,1190,1025,61,104,824,24510,s,505.860617476692,380.275539957684,486.83752324741,1367,101,1041,70,11,2,18,31,8,53,12
85160,3056,2857,24.52,180,73,1271.82056059089,21,20,1372.7220994537,1271.82056059089,36.2792049843798,64.6223338784266,1015.60214711594,26570,s,405.171044743288,292.953962160635,403.45044063756,1855.03518526289,72.6826619625449,1478.65023587225,78,5,7,19,39,8,62,10
85161,2546,2468,27.5,138,168,1077,18,38,1186,1077,53,56,835,25880,s,485.307704899904,362.314491334052,495.610282280411,1532,73,1234,61,9,6,10,29,7,52,7
85162,2054,2126,31.91,109,171,859,10,30,969,859,45,65,660,25570,s,443.934869803267,339.047953094468,439.381704476551,1236,69,975,68,10,6,7,36,9,54,8
85163,4502,4675,19.59,138,507,2377.21312839932,21,87,7877.43700933953,2377.21312839932,5411.77296085856,88.4509200816634,1748.91646723912,27310,s,2299.63227951436,1666.07382541157,2278.44994502725,2312.37477841908,197.426655164443,1699.13465024044,413,43,26,23,300,21,299,25
85164,2293,2066,20.62,72,257,1174.84114524604,8,59,3840.43796351577,1174.84114524604,2538.75585089112,126.840967378618,856.107260017934,26430,s,636.650915398566,464.386812913013,574.037257503821,1061.66326228905,87.4461739048491,804.900617656506,104,3,4,17,68,12,70,8
85165,1264,1252,14.06,87,49,489.643379975341,8,5,548.71086076567,489.643379975341,14.5078022993791,44.55967849095,389.71621993966,vm,vm,0,0,,808.039609125406,37.1182570041174,678.387900325442,0,0,0,0,0,0,0,0
85167,801,800,9.63,35,25,383.827288451749,7,6,441.005284478345,383.827288451749,22.4627841533058,34.7152118732907,335.824483399036,26970,s,88.1164216002222,68.2431115752579,77.5258899774418,459.411756774666,32.7978544323082,346.62758573417,9,1,2,0,3,3,5,2
85169,1110,1089,7.43,78,50,462.80151503377,15,2,519.770745803,462.80151503377,16.276923076923,40.6923076923076,354.301509766237,24140,s,281.385811815622,236.01352775712,285.260696951886,686.365964109704,56.4279861106941,548.714825039719,32,1,1,5,16,9,25,5
85171,618,607,9.09,40,26,255.565712899397,4,7,327.890085038931,255.565712899397,37.6901657628557,34.6342063766782,216.857856609172,26390,s,71.5706830261805,45.2695492339638,78.7782982115097,378.128671028426,26.4272891011195,289.637055700048,15,4,1,2,6,2,11,1
85172,2210,1989,33.22,105,167,986.727358795605,19,32,1286.11999133611,986.727358795605,220.141641573902,79.2509909666046,782.41058324418,25110,s,394.28609267734,274.422924671083,416.14194138862,1290.28399810818,79.5631747215777,1037.22219029728,63,3,3,18,31,8,53,4
85174,684,698,15.9,46,18,285.933925494699,4,1,315.84798571101,285.933925494699,9.28367386023447,20.6303863560766,227.515991297876,24150,s,114.82589337445,86.2270532457902,115.818504490751,426.464561328974,33.5055667673302,337.924351962671,14,4,1,4,3,2,9,3
85175,678,626,17.44,56,24,276.525011772259,7,0,313.98247162953,276.525011772259,13.6208944935528,23.8365653637174,225.188128392366,25380,s,61.83581591023,34.1323084723416,68.5714067728156,427.956456238,22.775239667016,339.488355819604,9,3,0,0,4,2,8,0
85176,1144,1127,11.96,38,158,493.134724526435,4,21,575.013250721024,493.134724526435,25.7595363308818,56.1189898637068,400.078095105429,26740,s,163.841668672391,140.593130036118,143.478015772878,609.667360987111,20.5034445652007,481.198513595012,23,3,1,3,11,5,13,5
85177,1366,1375,26.49,86,65,624,14,10,743,624,77,42,472,23420,s,158.142865685539,100.202253600251,192.194551311976,794,66,617,28,8,1,9,7,3,25,1
85178,8637,8497,71.9,444,309,3510,77,57,3756,3510,68,178,2690,26700,s,4132.71260770618,3685.28233355123,3383.81130211969,5378,220,4273,290,9,37,47,168,29,183,88
85179,1234,1082,25.38,91,47,519.148466330839,12,14,690.8554917419,519.148466330839,139.641255605381,32.0657698056801,414.805478092927,24740,s,138.83971253495,85.2728237605232,111.819863593643,715.412579811982,49.699023508072,576.688749568947,30,6,2,9,10,3,23,2
