id_election,annee,code_commune,population_totale,revenu_median,taux_pauvrete,taux_chomage,nb_entreprises,taux_faits_securite_pour_mille
2012_legi_t1,2012,49216,565,28200,,4.804805,9,0
2012_legi_t1,2012,49217,792,26240,,4.081633,14,0
2012_legi_t1,2012,49218,15684,24680,8,5.366308,407,0.852465
2012_legi_t1,2012,49219,416,27820,,11.888112,32,0
2012_legi_t1,2012,49220,3694,24670,,7.421036,100,1.88437
2012_legi_t1,2012,49221,800,21640,,8.285164,21,0
2012_legi_t1,2012,49222,2033,27430,,5.243722,66,0
2012_legi_t1,2012,49223,6172,27750,8,7.197275,158,3.137818
2012_legi_t1,2012,49224,1011,24490,,9.508716,28,0
2012_legi_t1,2012,49225,,,,,,
2012_legi_t1,2012,49226,,,,,,
2012_legi_t1,2012,49227,,,,,,
2012_legi_t1,2012,49228,5473,22210,19,9.955212,173,2.326518
2012_legi_t1,2012,49229,,,,,,
2012_legi_t1,2012,49230,,,,,,
2012_legi_t1,2012,49231,1454,26350,,4.356846,40,0
2012_legi_t1,2012,49232,,,,,,
2012_legi_t1,2012,49233,,,,,,
2012_legi_t1,2012,49234,,,,,,
2012_legi_t1,2012,49235,377,27400,,10.091743,21,0
2012_legi_t1,2012,49236,128,24530,,9.756098,6,0
2012_legi_t1,2012,49237,137,22880,,11.458333,1,0
2012_legi_t1,2012,49238,,,,,,
2012_legi_t1,2012,49239,,,,,,
2012_legi_t1,2012,49240,1016,24290,,4.347826,24,0
2012_legi_t1,2012,49241,2649,29110,,5.650358,75,0
2012_legi_t1,2012,49242,,,,,,
2012_legi_t1,2012,49243,,,,,,
2012_legi_t1,2012,49244,18514,25020,9,5.435785,543,0.85289
2012_legi_t1,2012,49245,,,,,,
2012_legi_t1,2012,49246,12863,26690,12,6.146832,498,2.055086
2012_legi_t1,2012,49247,2478,27480,,3.018982,50,
2012_legi_t1,2012,49248,8811,23850,13,7.319832,283,1.361352
2012_legi_t1,2012,49249,,,,,,
2012_legi_t1,2012,49250,,,,,,
2012_legi_t1,2012,49251,,,,,,
2012_legi_t1,2012,49252,,,,,,
2012_legi_t1,2012,49253,1089,23700,,7.776472,45,0
2012_legi_t1,2012,49254,,,,,,
2012_legi_t1,2012,49256,,,,,,
2012_legi_t1,2012,49257,1043,24760,,6.122449,17,0
2012_legi_t1,2012,49258,,,,,,
2012_legi_t1,2012,49259,2332,26130,,8.520179,64,0
2012_legi_t1,2012,49260,2012,26320,,4.691793,51,0
2012_legi_t1,2012,49261,8452,25150,10,8.799304,235,2.352834
